51.9630026;7.6461850
51.9690189;7.6557007
51.9667441;7.5791139
51.9563567;7.5927823
51.9823686;7.6340878
51.9642750;7.6480687
51.9648016;7.6498830
51.9836046;7.6328042
51.9316212;7.6272933
51.9615961;7.6323598
51.9612243;7.6763564
51.9980282;7.5606252
51.9512884;7.6684925
51.9493768;7.6692903
51.9607979;7.6759541
51.9652511;7.6192262
51.9639540;7.6215796
51.9979412;7.5585086
51.9663627;7.6181281
51.9642633;7.6280612
51.9043826;7.6446302
51.9723591;7.6120814
51.9680930;7.6231069
51.9691453;7.6122560
51.9831424;7.6465455
51.9716240;7.6404747
51.9829324;7.6343153
51.9652115;7.6225919
51.9706260;7.6313263
51.9681906;7.6306191
51.9716954;7.6319327
51.9701603;7.6314641
51.9660934;7.6184446
51.9668116;7.6299342
51.9666697;7.6300976
51.9396901;7.6090656
51.9803564;7.6449029
51.9602553;7.6331151
51.9659250;7.6032744
51.9601435;7.6343676
51.9357497;7.5988340
51.9747843;7.6191840
51.9664877;7.6214739
51.9619772;7.6198025
51.9626596;7.6226397
51.9617410;7.6206041
51.9618091;7.6232569
51.9650051;7.6232315
51.9672295;7.5984310
51.9946795;7.6028733
51.9943958;7.6480544
51.9582671;7.6296664
51.9416349;7.5699574
51.9713115;7.6413334
51.9476759;7.6241568
51.9709720;7.6248742
51.9315173;7.5803054
51.9333493;7.5826381
51.9592671;7.6226268
51.9240603;7.5769513
51.9245888;7.5766562
51.9644603;7.6487432
51.9112218;7.7168561
51.9689050;7.6777400
51.9040850;7.6736995
51.9333689;7.6196522
51.9328504;7.5231165
51.9611163;7.6271304
51.9731310;7.5645194
51.9494323;7.6169925
51.9667309;7.5637289
51.9329723;7.6314486
51.9302602;7.6660484
51.9328473;7.6323646
51.9732268;7.5647582
51.9633968;7.6213119
51.9611775;7.6272246
51.9612369;7.6293802
51.9616641;7.6187579
51.9599247;7.6276862
51.9635280;7.6202090
51.9027990;7.6239472
51.9027588;7.6243190
51.9028274;7.6242728
51.9029680;7.6245050
51.9030926;7.6247635
51.9031539;7.6249730
51.9032601;7.6251939
51.9404205;7.6350594
51.9248245;7.5192620
51.9245357;7.5199878
51.9657200;7.6262088
51.9241489;7.6294346
51.9531009;7.6426113
51.9682660;7.5968150
51.9680535;7.5968279
51.9669865;7.5979709
51.9684329;7.5968320
51.9286771;7.6323805
51.9273210;7.6362170
51.9779756;7.7061944
51.9679736;7.5977034
51.9679817;7.5983882
51.9404332;7.6100202
51.9406048;7.6102017
51.9605249;7.6263519
51.9604312;7.6295958
51.9568617;7.6267561
51.9569964;7.6267604
51.9572302;7.6269379
51.9572697;7.6269965
51.9592353;7.6272557
51.9597588;7.6268524
51.9589583;7.6275075
51.9594857;7.6275738
51.9605357;7.6245937
51.9600022;7.6269753
51.9603671;7.6275248
51.9599115;7.6289450
51.9620570;7.6282887
51.9622267;7.6298593
51.9624295;7.6288644
51.9612437;7.6320788
51.9699974;7.6211992
51.9686119;7.6222190
51.9700250;7.6219842
51.9716303;7.6147410
51.9400345;7.6120133
51.9602742;7.6269601
51.9665516;7.5988636
51.9045190;7.6462825
51.9199042;7.6322646
51.9046838;7.6473125
51.9043169;7.6469642
51.9519889;7.6198942
51.9391262;7.6097764
51.9739181;7.6106103
51.9433152;7.6300944
51.9434143;7.6298756
51.9458736;7.6310461
51.9539827;7.6322772
51.9700184;7.6218284
51.9700161;7.6223816
51.9398050;7.6143221
51.9452012;7.6225937
51.9503700;7.6343685
51.9072997;7.6333433
51.9063924;7.6399565
51.9313662;7.6017840
51.9307645;7.6012733
51.9043525;7.6449226
51.9302519;7.6006071
51.9303279;7.6002648
51.9309549;7.6019218
51.9287190;7.6006580
51.9612697;7.6273689
51.9540246;7.6320200
51.9545941;7.6418318
51.9040808;7.6451394
51.9040668;7.6450264
51.9768174;7.7089384
51.9530568;7.6140497
51.9548198;7.6419032
51.9472320;7.6083190
51.9458896;7.6304769
51.9591483;7.6293700
51.9587665;7.6284038
51.9591611;7.6272378
51.9593224;7.6275934
51.9597712;7.6275854
51.9596541;7.6275617
51.9595847;7.6275482
51.9595426;7.6273296
51.9606168;7.6278921
51.9606812;7.6278623
51.9601719;7.6277608
51.9600498;7.6277040
51.9606256;7.6276182
51.9605530;7.6276078
51.9603486;7.6278348
51.9605416;7.6278901
51.9610483;7.6283279
51.9609509;7.6276012
51.9608507;7.6276151
51.9611164;7.6278673
51.9610800;7.6279602
51.9610701;7.6281820
51.9610577;7.6282293
51.9598478;7.6295308
51.9587094;7.6293297
51.9588940;7.6291263
51.9584212;7.6295843
51.9590135;7.6283716
51.9581764;7.6296273
51.9593479;7.6284795
51.9597569;7.6284595
51.9738055;7.6103299
51.9639580;7.6265098
51.9294020;7.7205920
51.9592818;7.6346458
51.9726197;7.5647946
51.9730543;7.5647587
51.9777854;7.6003499
51.9576392;7.6342059
51.9577112;7.6342168
51.9432194;7.6108318
52.0334480;7.6735588
51.9252585;7.5232657
51.9590692;7.6275292
51.9312478;7.5798762
51.9574767;7.6401109
51.9218099;7.6744668
51.8827608;7.6055961
51.8826758;7.6062988
51.9576817;7.6282572
51.9296093;7.5803855
51.9748670;7.5749448
51.9758997;7.5759264
51.9524098;7.6120741
51.9827255;7.6120256
51.9824950;7.6120401
51.9828816;7.6114717
51.9765968;7.6103051
51.9803459;7.5959360
51.9968117;7.5652395
51.9343304;7.6569798
51.9606572;7.6235981
51.9700221;7.6216931
51.9705777;7.6621923
51.9654142;7.5998692
51.9710846;7.5966340
51.9635002;7.6199983
51.9560100;7.6769318
51.9700704;7.6205827
51.9377285;7.6424765
51.9302386;7.6766404
51.9767673;7.6104496
51.9749166;7.5697641
51.9664280;7.6180593
51.9643275;7.6241753
51.9663186;7.6183620
51.9663988;7.6182934
51.9653401;7.6192174
51.9656722;7.6191035
51.9660168;7.6187178
51.9656789;7.6189148
